clip_id,language,source_id,speaker_id,path,start_sec,end_sec,duration_sec,asr_text
en_01_000,en,en_01,en_hcverma,data/clips/en/en_01_000.wav,0.00,9.20,9.35,"Find those principles, nature displays varieties of events and phenomena, and based on those we have to understand physics."
en_01_001,en,en_01,en_hcverma,data/clips/en/en_01_001.wav,9.70,22.20,12.80,"All our equations, all our formulae, all our derivations are essentially an attempt to understand these basic principles on which nature displays its events."
en_01_002,en,en_01,en_hcverma,data/clips/en/en_01_002.wav,22.60,37.60,15.30,"So we design some of our own experiments so that those rules, those phenomena, those equations, those concepts are understood in a in a better way. So this particular course is"
en_01_003,en,en_01,en_hcverma,data/clips/en/en_01_003.wav,38.00,50.70,13.00,"Just to show some experiments, simple experiments, self-designed experiments, you can also design and then see how physics is working there and from that."
en_01_004,en,en_01,en_hcverma,data/clips/en/en_01_004.wav,51.20,61.70,10.80,"develop a deeper understanding of physics. So this is about the course. Now, the participants you have registered"
en_01_005,en,en_01,en_hcverma,data/clips/en/en_01_005.wav,62.10,74.00,12.20,"And I do not know how many of you are students, how many of you are teachers, how many of you are very senior teachers, senior than me. So it's a mixed audience and I don't know how do I address."
en_01_006,en,en_01,en_hcverma,data/clips/en/en_01_006.wav,74.50,88.80,14.60,"So I'm coining a word, you are my physics loving friend. Physics loving friend. So I'll call you P L F. So all my PLFs"
en_01_007,en,en_01,en_hcverma,data/clips/en/en_01_007.wav,89.40,103.65,14.55,"Welcome to this course. I have divided this eight week course in four broad modules, although in experiments you cannot really divide things. All these divisions"
en_01_008,en,en_01,en_hcverma,data/clips/en/en_01_008.wav,103.65,117.90,14.55,"Revisions in chapters is artificial. When you are doing something, then many of the concepts go together in one experiment. But still, broadly I have divided it in four parts."
en_01_009,en,en_01,en_hcverma,data/clips/en/en_01_009.wav,118.80,132.90,14.40,"that is optics, that will be our first module. and then mechanics and then electricity magnetism and then oscillations and waves. So roughly two weeks on"
en_01_010,en,en_01,en_hcverma,data/clips/en/en_01_010.wav,133.30,146.90,13.90,"Optics, two weeks on mechanics, two weeks on electricity magnetism, and two weeks on oscillations and waves. So we will start with our first module that is optics, light."
en_01_011,en,en_01,en_hcverma,data/clips/en/en_01_011.wav,147.60,161.30,14.00,"Very simple, light, and the day someone comes to this planet and opens eyes, the interaction with light starts."
en_01_012,en,en_01,en_hcverma,data/clips/en/en_01_012.wav,162.10,173.30,11.50,"And after that we experience so many things about light, we learn so many things about light, and then theories are developed and all other phenomena are there."
en_01_013,en,en_01,en_hcverma,data/clips/en/en_01_013.wav,174.90,187.60,13.00,Now what is the first thing that is taught when a chapter on light starts in schools? Perhaps the first thing is light travels in straight lines.
en_01_014,en,en_01,en_hcverma,data/clips/en/en_01_014.wav,188.60,202.30,14.00,"So, we will also start from that, and how do we know that light travels in straight lines? We can do certain experiments. So, you have a bulb glowing."
en_01_015,en,en_01,en_hcverma,data/clips/en/en_01_015.wav,202.80,215.30,12.80,You can see it. Put some object in between your eyes and the bulb and what happens? I'm not able to see the bulb. Why? This simple experiment tells me.
en_01_016,en,en_01,en_hcverma,data/clips/en/en_01_016.wav,215.70,229.10,13.70,"that light travels in straight lines. Light falls on this card, this paper, therefore it is not able to reach my eyes and therefore I am not able to see."
en_01_017,en,en_01,en_hcverma,data/clips/en/en_01_017.wav,229.50,242.80,13.60,"But does light really go in straight lines? We will come to this question. When we say that light travels in straight lines, this is an approximation."
en_01_018,en,en_01,en_hcverma,data/clips/en/en_01_018.wav,244.10,254.90,11.10,"First thing is, we mean a homogeneous medium, transparent homogeneous medium, only then the light travels in straight lines. And"
en_01_019,en,en_01,en_hcverma,data/clips/en/en_01_019.wav,254.90,265.70,11.10,"And you know, if the medium changes, the refractive index of medium changes, light can bend. Mirage is one example and many other examples."
en_01_020,en,en_01,en_hcverma,data/clips/en/en_01_020.wav,266.50,278.60,12.40,"The approximation, the approximation in which you can represent light by straight line paths is known as"
en_01_021,en,en_01,en_hcverma,data/clips/en/en_01_021.wav,279.00,291.20,12.50,"Ray optics approximation or geometrical optics approximation. In this approximation, light casts shadows."
en_01_022,en,en_01,en_hcverma,data/clips/en/en_01_022.wav,292.50,306.40,14.20,"when you walk in sun or under the street lights, you can see your own shadows on the road. So let us make some shadows. Let's do this experiment. Let's make some shadows. So,"
en_01_023,en,en_01,en_hcverma,data/clips/en/en_01_023.wav,307.00,321.40,14.70,"Again this bulb. Alright, now I will be making shadow of this pen and you watch for the sharpness of the shadow. Look at the shadow. Quite sharp, rectangular."
en_01_024,en,en_01,en_hcverma,data/clips/en/en_01_024.wav,322.50,337.30,15.10,"I'm increasing the distance of pen from the wall and see how the sharpness is changing. It is quite diffused now, very diffused. Very diffused. If I go close to the wall,"
en_01_025,en,en_01,en_hcverma,data/clips/en/en_01_025.wav,338.00,351.20,13.50,"It's quite sharp, rectangular. If I go away from the wall, then it is a totally diffused kind of shadow. Now it will be your task."
en_01_026,en,en_01,en_hcverma,data/clips/en/en_01_026.wav,351.70,360.50,9.10,"To explain all these phenomena, this intensity, this diffuseness in terms of"
en_01_027,en,en_01,en_hcverma,data/clips/en/en_01_027.wav,361.00,374.50,13.80,"the path of light rays or straight line paths that light takes. One more observation, keenly watch. I am rotating this bulb now."
en_01_028,en,en_01,en_hcverma,data/clips/en/en_01_028.wav,375.00,383.80,9.10,"The shadow is very, very diffused. I am rotating the bulb and you see what happens to the shadow."
en_01_029,en,en_01,en_hcverma,data/clips/en/en_01_029.wav,389.80,404.50,15.00,See how the shadow is changing. I have rotated it almost 90 degrees. Go back. And this is the shadow.
en_01_030,en,en_01,en_hcverma,data/clips/en/en_01_030.wav,405.90,417.60,12.00,"Rotate it, rotate the bulb. And this is the shadow. So, this also you have to explain why the"
en_01_031,en,en_01,en_hcverma,data/clips/en/en_01_031.wav,418.00,431.40,13.70,"Shadow is changing its character when the light bulb is getting rotated. Now to give you a clue, I will show you the bulb."
en_01_032,en,en_01,en_hcverma,data/clips/en/en_01_032.wav,432.40,444.30,12.20,And you see what happens when the bulb is rotating. Look at the bulb. It's a structure inside this glass.
en_01_033,en,en_01,en_hcverma,data/clips/en/en_01_033.wav,445.80,460.60,15.10,Now this is the initial condition. And now I will be rotating it through 90 degrees. So I'm starting the rotation. So just watch.
en_01_034,en,en_01,en_hcverma,data/clips/en/en_01_034.wav,462.00,469.60,7.90,What kind of changes you see? I've almost rotated it by 90 degrees. Going back.
en_01_035,en,en_01,en_hcverma,data/clips/en/en_01_035.wav,477.10,491.00,14.20,Okay? So I hope this helps in explaining what happened to the shadow with rotation of bulb. So I have this cardboard and in this cardboard I have
en_01_036,en,en_01,en_hcverma,data/clips/en/en_01_036.wav,491.80,506.80,15.30,"made a hole. And if you see the shape of the hole, it is in the shape of this sign of plus. The intention is I'll"
en_01_037,en,en_01,en_hcverma,data/clips/en/en_01_037.wav,507.40,518.00,10.90,"Let sunlight pass through this hole, this opening, and on the other side, I'll collect that light and see the pattern that light makes."
en_01_038,en,en_01,en_hcverma,data/clips/en/en_01_038.wav,518.60,532.50,14.20,"Similarly, I will have more cardboard boards with different shapes. Okay, so Ranjit is holding the screen and sunlight is passing through this hole and on the other side it is going."
en_01_039,en,en_01,en_hcverma,data/clips/en/en_01_039.wav,533.00,544.40,11.70,"and making a pattern on the screen. And as expected, the pattern made by the light on the screen is also in the shape of that mathematical plus sign."
en_01_040,en,en_01,en_hcverma,data/clips/en/en_01_040.wav,545.30,558.20,13.20,Now see what happens if the screen is taken away from this opening. So Ranjit is taking the screen away. You can see that the boundaries are diffusing.
en_01_041,en,en_01,en_hcverma,data/clips/en/en_01_041.wav,560.00,573.00,13.30,"And by now it is difficult to recognize that there was a plus shape. And now you can see at this distance, it is almost a circular disc."
en_01_042,en,en_01,en_hcverma,data/clips/en/en_01_042.wav,574.30,587.90,13.90,The opening is in the shape of plus sign. But the light that falls on the screen going through this same opening is making a circular disk on the screen.
en_01_043,en,en_01,en_hcverma,data/clips/en/en_01_043.wav,592.60,607.50,15.20,"Let us change the shape of the opening. This opening is diamond type, parallelogram. And if you see on the screen, you have that diamond shaped spot."
en_01_044,en,en_01,en_hcverma,data/clips/en/en_01_044.wav,608.50,620.00,11.80,And now Ranjit take away the screen. Increase the distance. And you see you don't recognize anymore.
en_01_045,en,en_01,en_hcverma,data/clips/en/en_01_045.wav,621.20,632.50,11.60,"That parallelogram type, diamond type shape, and once again it has become a circular disc. One more shape?"
en_01_046,en,en_01,en_hcverma,data/clips/en/en_01_046.wav,639.90,654.30,14.70,This you can see it's a kind of a rectangle. Nearly rectangular shape of the opening and nearly rectangular shape of the pattern made on the screen by light passing through this rectangular opening.
en_01_047,en,en_01,en_hcverma,data/clips/en/en_01_047.wav,655.00,665.90,11.20,"Now take the screen away. Okay, still you can see it is rectangle. Boundaries are diffusing."
en_01_048,en,en_01,en_hcverma,data/clips/en/en_01_048.wav,670.70,683.80,13.40,"And by now it has become a circular disk. You can see the periphery of that spot, it's circular. So independent of the shape of the opening."
en_01_049,en,en_01,en_hcverma,data/clips/en/en_01_049.wav,684.50,698.40,14.20,"Your final spot is bright circular disk. So, why the that spot becomes circular?"
en_01_050,en,en_01,en_hcverma,data/clips/en/en_01_050.wav,698.80,711.50,13.00,"Once the distance between the screen and the opening is large, independent of what is the shape of opening, that bright circular disk is in fact image of the sun."
en_01_051,en,en_01,en_hcverma,data/clips/en/en_01_051.wav,712.10,726.20,14.40,"The sun's disk is circular, and therefore this is also circular. But when you bring this screen closer to this opening, then it is the opening that decides what kind of shape will be there of the brightest spot."
en_01_052,en,en_01,en_hcverma,data/clips/en/en_01_052.wav,727.10,741.10,14.30,"You can understand it if you do little bit of drawing. Suppose in the in that opening, you only have a single point opening, what will happen? Wherever you place your screen,"
en_01_053,en,en_01,en_hcverma,data/clips/en/en_01_053.wav,741.70,750.70,9.30,"That sun, that disk will be imaged as a circular disk here at all distances if it is a single point opening."
en_01_054,en,en_01,en_hcverma,data/clips/en/en_01_054.wav,751.80,766.30,14.80,a actual opening can be thought of as a collection of the single point openings. And therefore each of this point will make a circle. Now if the screen is closed
en_01_055,en,en_01,en_hcverma,data/clips/en/en_01_055.wav,767.00,782.00,15.30,"All these circles are small small circles. Suppose these are the suppose your opening is triangular. So, these are the points which are"
en_01_056,en,en_01,en_hcverma,data/clips/en/en_01_056.wav,784.10,794.00,10.20,You take these as the points. This is all triangular. Each point is making a circular disk.
en_01_057,en,en_01,en_hcverma,data/clips/en/en_01_057.wav,794.70,807.30,12.90,"But if the screen is closed, those discs are small. So you have a disc like this, you have a disc like this, you have a disc like this, you have a disc like this, disc like this and so on. So all this will be there."
en_01_058,en,en_01,en_hcverma,data/clips/en/en_01_058.wav,808.70,820.60,12.20,"From each point, you make circular discs. But then that triangular shape is still maintained. That triangular shape is still maintained."
en_01_059,en,en_01,en_hcverma,data/clips/en/en_01_059.wav,822.10,832.30,10.50,"But if the screen is away and these circles becomes large, then if you make that drawing, you have centers here."
en_01_060,en,en_01,en_hcverma,data/clips/en/en_01_060.wav,833.20,848.10,15.20,"You have centers here, but then you are drawing large circles. You are drawing large circles. Like this. From these, what you will see is a round thing, a circular thing."
en_01_061,en,en_01,en_hcverma,data/clips/en/en_01_061.wav,848.50,861.50,13.30,"So here, it will be essentially the image of the source, and here, it will be essentially image of the opening. Okay, now I will make shadow."
en_01_062,en,en_01,en_hcverma,data/clips/en/en_01_062.wav,862.40,874.70,12.60,using a different light source. This is a laser light source and green light is emitted and is going on the wall. The size of the beam is small.
en_01_063,en,en_01,en_hcverma,data/clips/en/en_01_063.wav,875.60,888.30,13.00,"From the spot on the wall you can see how much is the size, or you can see it somewhere here. So this is the size. And the obstacle that I am bringing"
en_01_064,en,en_01,en_hcverma,data/clips/en/en_01_064.wav,888.70,900.70,12.30,"is much wider than the size of the beam. This is opaque. So if light goes in straight lines, then the whole beam will fall on this."
en_01_065,en,en_01,en_hcverma,data/clips/en/en_01_065.wav,901.20,911.90,11.00,"object, opaque object, and nothing will go there. So let's see. Here it is."
en_01_066,en,en_01,en_hcverma,data/clips/en/en_01_066.wav,914.70,929.30,14.90,"The entire light is now falling on this object, opaque object, and everything is blocked and nothing goes on the wall. So light does travel in straight lines. Now I will do something else. We will put an object"
en_01_067,en,en_01,en_hcverma,data/clips/en/en_01_067.wav,930.00,937.10,7.40,which size is less than the diameter of this beam. Now we will be putting a thin wire.
en_01_068,en,en_01,en_hcverma,data/clips/en/en_01_068.wav,937.60,954.20,16.90,"in front of this light beam. So and it will be thin. So it will not block the whole of the light, only the light which falls on the that thin wire should be blocked and other light should pass and you can expect the shadow of wire."
en_01_069,en,en_01,en_hcverma,data/clips/en/en_01_069.wav,955.40,966.20,11.10,So we have fixed thin wire on this CD disk and carefully see the central hole.
en_01_070,en,en_01,en_hcverma,data/clips/en/en_01_070.wav,967.60,981.80,14.50,"On the vertical diameter of the central hole, you can see the wire. And our plan is to send this light beam."
en_01_071,en,en_01,en_hcverma,data/clips/en/en_01_071.wav,982.80,996.80,14.30,on this wire. So from the sides light will go and apparently perhaps we can expect that light will be blocked by this wire and a shadow will form on the other side.
en_01_072,en,en_01,en_hcverma,data/clips/en/en_01_072.wav,997.40,1009.10,12.00,"So I'll request Ranjit, my associate, to fix up this wire and this light source on some stand so that light falls on this wire."
en_01_073,en,en_01,en_hcverma,data/clips/en/en_01_073.wav,1030.90,1045.30,14.70,"This is the point directly in front of the wire. And wire is opaque, doesn't allow light to pass through. So light should have been stopped there at the wire. And here you should have gotten a dark."
en_01_074,en,en_01,en_hcverma,data/clips/en/en_01_074.wav,1045.90,1058.90,13.30,"But you have maximum intensity here. And then you see one, two, three on left side, one, two, three on right side, you can keep on counting. There are different zones of"
en_01_075,en,en_01,en_hcverma,data/clips/en/en_01_075.wav,1059.50,1074.30,15.10,"high intensity and then low intensity, again high intensity, again low intensity and so on on left of this bright spot at the center and right of the bright spot of the center. So this is the shadow of"
en_01_076,en,en_01,en_hcverma,data/clips/en/en_01_076.wav,1074.70,1087.90,13.50,"a thin wire. So what happened? When we used a pen, a pencil, varieties of objects in front of a light beam."
en_01_077,en,en_01,en_hcverma,data/clips/en/en_01_077.wav,1089.30,1101.60,12.60,Light was partially blocked by the object and there was a darkness in front of that object. But here the things are very very different. Light
en_01_078,en,en_01,en_hcverma,data/clips/en/en_01_078.wav,1102.00,1114.40,12.70,does not go in straight line paths in this particular experiment. So when does light go in straight line paths? In what conditions I cannot use this approximation?
en_01_079,en,en_01,en_hcverma,data/clips/en/en_01_079.wav,1116.60,1128.70,12.40,"For that, you also know that light is a wave. And there is something called wavelength of light. So, the openings or obstacles..."
en_01_080,en,en_01,en_hcverma,data/clips/en/en_01_080.wav,1130.20,1142.90,13.00,size of these openings and obstacles and the wavelength. They will decide whether light can be treated as rays going in straight lines.
en_01_081,en,en_01,en_hcverma,data/clips/en/en_01_081.wav,1143.40,1158.00,14.90,and stopping wherever an opaque object is encountered or light will show some other character. And the rule is that if the size of the opening or obstacle
en_01_082,en,en_01,en_hcverma,data/clips/en/en_01_082.wav,1158.50,1169.60,11.40,"is much much larger than the wavelength. 100 times, 1000 times, 10,000 times, 100,000 times. Then you can treat this light as"
en_01_083,en,en_01,en_hcverma,data/clips/en/en_01_083.wav,1170.20,1185.20,15.30,as rays going in straight lines and those straight lines you call rays. and we call this approximation as ray optics approximation. and that was the case when I used bigger objects.
en_01_084,en,en_01,en_hcverma,data/clips/en/en_01_084.wav,1185.60,1200.00,14.55,"to form shadows. But if the size of the opening or the obstacle is comparable to the wavelength of light, 10 times, 15 times, 20 times, maybe."
en_02_000,en,en_02,en_hcverma,data/clips/en/en_02_000.wav,0.80,13.70,13.20,And this approximation is known as geometrical ray approximation. And optics discussed under this proposition is called geometrical optics.
en_02_001,en,en_02,en_hcverma,data/clips/en/en_02_001.wav,14.20,29.00,15.10,"So, in this situation you can assume that light travels in straight lines in a homogeneous medium until there is some obstacle or some reflector or some medium change or something. It goes in a straight line."
en_02_002,en,en_02,en_hcverma,data/clips/en/en_02_002.wav,29.90,43.50,13.90,"which you call light ray. It's also called ray approximation. Now in this ray approximation, the basic assumption is light goes in straight line in a homogeneous medium."
en_02_003,en,en_02,en_hcverma,data/clips/en/en_02_003.wav,44.10,52.90,9.10,"That we can see in our experiments also. Now, light goes in a straight line in a homogeneous medium."
en_02_004,en,en_02,en_hcverma,data/clips/en/en_02_004.wav,54.10,61.90,8.10,"can be explained, understood just by symmetry of the space. Our space"
en_02_005,en,en_02,en_hcverma,data/clips/en/en_02_005.wav,62.50,76.10,13.90,"which I call homogeneous, isotropic, unless there is a material and that material has varying properties in varying positions or in varying directions, if that be the case then it's a different story."
en_02_006,en,en_02,en_hcverma,data/clips/en/en_02_006.wav,76.80,91.10,14.60,But it's a truly homogeneous isotropic medium or vacuum. And light is going in some direction at some point. Then if it has to bend...
en_02_007,en,en_02,en_hcverma,data/clips/en/en_02_007.wav,91.70,103.20,11.80,"In which direction it will bend? All directions are equal, equivalent. Suppose light is going like this in two dimensional plane, let me talk. So light is going like this at some instant."
en_02_008,en,en_02,en_hcverma,data/clips/en/en_02_008.wav,104.50,115.40,11.20,And now it has to bend. Suppose it doesn't go in straight line. It's all homogeneous medium. Should it bend this way? Or should it bend this way? All directions are equivalent.
en_02_009,en,en_02,en_hcverma,data/clips/en/en_02_009.wav,116.20,129.70,13.80,"All positions are equivalent, is the same medium everywhere, and the medium is isotropic. Isotropic means all directions are same. So if it is going at certain instant in this direction, should it move this way?"
en_02_010,en,en_02,en_hcverma,data/clips/en/en_02_010.wav,130.10,136.10,6.30,Should it move this way? How does it choose between these two if the medium is same?
en_02_011,en,en_02,en_hcverma,data/clips/en/en_02_011.wav,136.70,151.00,14.60,"or similarly if you go out of this plane, you can have a bent like that, bent like that, so many bending directions you can make. It cannot. So it must continue in this direction. So it must go in straight lines."
en_02_012,en,en_02,en_hcverma,data/clips/en/en_02_012.wav,153.20,165.80,12.90,"So many of the physics phenomena can be explained just on the basis of symmetry of space, of medium and so on and this is one of them."
en_02_013,en,en_02,en_hcverma,data/clips/en/en_02_013.wav,167.40,176.10,9.00,"Now, light going in straight lines has a different aspect, interesting aspect. Suppose I have a point A, and suppose I have a point B."
